trial_pos,bin,value
94,0,0.366570017298549
94,1,0.10908570038141017
94,2,0.2963741939193009
94,3,0.22797008840073996
95,0,0.384188125047479
95,1,0.11292007128545076
95,2,0.28202631152106467
95,3,0.2208654921460056
96,0,0.384188125047479
96,1,0.11292007128545076
96,2,0.28202631152106467
96,3,0.2208654921460056
97,0,0.384188125047479
97,1,0.11292007128545076
97,2,0.28202631152106467
97,3,0.2208654921460056
98,0,0.3414742827665871
98,1,0.13079452259387433
98,2,0.3057139237252945
98,3,0.2220172709142441
99,0,0.41009293150687265
99,1,0.09185942087382011
99,2,0.2966373110991931
99,3,0.2014103365201141
