age,cohort,model_prop_f,model_prop_m
19,1992.0,0.7333333333333333,0.0
20,1992.0,0.8059964726631393,0.0
21,1992.0,0.8617021276595744,0.0
22,1992.0,0.902135231316726,0.0
23,1992.0,0.9247311827956989,0.0
24,1992.0,0.9422382671480144,0.0
25,1992.0,0.9546279491833031,0.0
26,1992.0,0.9781021897810219,0.0
27,1992.0,0.9871086556169429,0.0
28,1992.0,0.9907235621521335,0.0
29,1992.0,0.9944029850746269,0.0
30,1992.0,0.99812734082397,0.0
12,1993.0,0.04817275747508306,0.0016233766233766235
13,1993.0,0.09682804674457429,0.004909983633387889
14,1993.0,0.16778523489932887,0.011494252873563218
15,1993.0,0.25084175084175087,0.021487603305785124
16,1993.0,0.3756345177664975,0.08623548922056384
17,1993.0,0.5102040816326531,0.23098201936376211
18,1993.0,0.629059829059829,0.0
19,1993.0,0.7186963979416809,0.0
20,1993.0,0.7793103448275862,0.0
21,1993.0,0.8385416666666666,0.0
22,1993.0,0.8656195462478184,0.0
23,1993.0,0.8980667838312829,0.0
24,1993.0,0.9346289752650176,0.0
25,1993.0,0.9538188277087034,0.0
26,1993.0,0.9678571428571429,0.0
27,1993.0,0.9838420107719928,0.0
28,1993.0,0.9909420289855072,0.0
29,1993.0,0.9963570127504554,0.0
30,1993.0,0.9963031423290203,0.0
12,1994.0,0.05194805194805195,0.001589825119236884
13,1994.0,0.10440456769983687,0.001597444089456869
14,1994.0,0.16693944353518822,0.01765650080256822
15,1994.0,0.25,0.03064516129032258
16,1994.0,0.37458745874587457,0.09241379310344827
17,1994.0,0.5215231788079471,0.0
18,1994.0,0.6343906510851419,0.0
19,1994.0,0.717391304347826,0.0
20,1994.0,0.8013468013468014,0.0
21,1994.0,0.8443316412859561,0.0
22,1994.0,0.8841567291311755,0.0
23,1994.0,0.9125214408233276,0.0
24,1994.0,0.9343696027633851,0.0
25,1994.0,0.9547826086956521,0.0
26,1994.0,0.9649737302977233,0.0
27,1994.0,0.9682539682539683,0.0
28,1994.0,0.9840142095914742,0.0
29,1994.0,0.9875,0.0
30,1994.0,0.9928057553956835,0.0
12,1995.0,0.03322784810126582,0.0015479876160990713
13,1995.0,0.10333863275039745,0.006230529595015576
14,1995.0,0.16932907348242812,0.017214397496087636
15,1995.0,0.2680577849117175,0.03155006858710562
16,1995.0,0.4080645161290323,0.0
17,1995.0,0.5494327390599676,0.0
18,1995.0,0.6416938110749185,0.0
19,1995.0,0.7201309328968903,0.0
20,1995.0,0.780327868852459,0.0
21,1995.0,0.8407960199004975,0.0
22,1995.0,0.8685524126455907,0.0
23,1995.0,0.9128978224455612,0.0
24,1995.0,0.9411764705882353,0.0
25,1995.0,0.9558573853989814,0.0
26,1995.0,0.9692832764505119,0.0
27,1995.0,0.9794168096054888,0.0
28,1995.0,0.9827586206896551,0.0
29,1995.0,0.9895833333333334,0.0
30,1995.0,0.9947552447552448,0.0
